title;year;genre;director;synopsis;duration;language;posterUrl
Interstellar;2014;Ciencia Ficción;Christopher Nolan;Un equipo de exploradores viaja a través de un agujero de gusano en busca de un nuevo hogar para la humanidad.;169;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Interstellar
Matrix;1999;Ciencia Ficción;Lana y Lilly Wachowski;Un hacker descubre que la realidad tal como la conoce es una simulación digital creada por máquinas para esclavizar a la humanidad.;136;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Matrix
Ex Machina;2014;Ciencia Ficción;Alex Garland;Un programador es seleccionado para evaluar las asombrosas capacidades de una IA con aspecto humano en una instalación remota.;108;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Ex+Machina
La Llegada;2016;Ciencia Ficción;Denis Villeneuve;Una lingüista debe comunicarse con extraterrestres que han aterrizado en la Tierra para descubrir si vienen en paz.;116;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=La+Llegada
Dune;2021;Ciencia Ficción;Denis Villeneuve;El joven Paul Atreides llega al desértico planeta Arrakis, el único lugar donde se puede encontrar la especia más preciada del universo.;155;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Dune
Alien;1979;Terror;Ridley Scott;La tripulación de una nave espacial comercial se enfrenta a una forma de vida extraterrestre letal a bordo.;117;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Alien
Hijos de los Hombres;2006;Ciencia Ficción;Alfonso Cuarón;En un futuro donde la humanidad es estéril, un activista escolta a la única mujer embarazada del mundo para ponerla a salvo.;109;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Hijos+de+los+Hombres
Her;2013;Romance;Spike Jonze;Un hombre solitario se enamora del sistema operativo de inteligencia artificial de su ordenador.;126;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Her
El Gran Hotel Budapest;2014;Comedia;Wes Anderson;El legendario conserje de un famoso hotel europeo y su joven empleado se ven envueltos en el robo de una pintura y la intriga familiar.;99;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Gran+Hotel+Budapest
Supersalidos;2007;Comedia;Greg Mottola;Tres amigos de instituto con pocas probabilidades de asistir a una fiesta legendaria intentan desesperadamente conseguir alcohol.;113;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Supersalidos
El Gran Lebowski;1998;Comedia;Joel y Ethan Coen;Un vagabundo apodado El Dude es confundido con un millonario y se ve involucrado en un extraño caso de secuestro.;117;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Gran+Lebowski
Groundhog Day;1993;Comedia;Harold Ramis;Un meteorólogo arrogante queda atrapado en un bucle temporal y revive el mismo día una y otra vez hasta aprender a ser mejor persona.;101;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Groundhog+Day
Puñales por la Espalda;2019;Thriller;Rian Johnson;Un famoso novelista de misterio aparece muerto la mañana después de su cumpleaños y un detective privado investiga a toda su excéntrica familia.;130;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Punales+por+la+Espalda
¡Corre!;2017;Terror;Jordan Peele;Un afroamericano visita a los padres de su novia blanca y descubre que algo inquietante está pasando con la gente negra del pueblo.;104;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Corre
Hereditary;2018;Terror;Ari Aster;Tras la muerte de su abuela, una familia descubre oscuros secretos sobre su genealogía en esta angustiante historia de terror.;127;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Hereditary
La Bruja;2015;Terror;Robert Eggers;Una familia puritana del siglo XVII es expulsada de su comunidad y se establece cerca de un bosque habitado por fuerzas sobrenaturales.;92;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=La+Bruja
Un Lugar Tranquilo;2018;Terror;John Krasinski;Una familia vive en silencio absoluto para sobrevivir a criaturas que cazan por el sonido en un mundo postapocalíptico.;90;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Un+Lugar+Tranquilo
Midsommar;2019;Terror;Ari Aster;Una pareja viaja a un festival sueco de verano que pronto se revela como algo perturbador y peligroso.;148;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Midsommar
Spider-Man: Un Nuevo Universo;2018;Animación;Bob Persichetti;Miles Morales se convierte en Spider-Man y conoce a otros Spider-Men de distintas dimensiones paralelas para salvar el multiverso.;117;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Spider-Man
El Viaje de Chihiro;2001;Animación;Hayao Miyazaki;Una niña de 10 años queda atrapada en el mundo espiritual y debe trabajar en unas termas mágicas para salvar a sus padres.;125;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Chihiro
WALL-E;2008;Animación;Andrew Stanton;Un robot recolector de basura en la Tierra abandonada descubre el amor cuando una nave espacial envía a un robot explorador.;98;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=WALL-E
Up;2009;Animación;Pete Docter;Un anciano viudo ata globos a su casa para volar hasta Venezuela y cumplir el sueño de su esposa, acompañado sin quererlo por un niño explorador.;96;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Up
El Rey León;1994;Animación;Roger Allers;Un joven león huye avergonzado por la presunta culpa de la muerte de su padre y debe regresar para reclamar su reino.;88;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Rey+León
Toy Story;1995;Animación;John Lasseter;Woody, el vaquero favorito de Andy, ve su posición amenazada cuando llega Buzz Lightyear, el nuevo juguete espacial.;81;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Toy+Story
Perdida;2014;Thriller;David Fincher;El día de su quinto aniversario, la esposa de un hombre desaparece y él se convierte en el principal sospechoso.;149;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Perdida
Prisioneros;2013;Thriller;Denis Villeneuve;Cuando sus hijas desaparecen, un padre desesperado toma la justicia por su mano mientras un detective busca a las niñas.;153;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Prisioneros
Se7en;1995;Thriller;David Fincher;Dos detectives persiguen a un asesino en serie que basa sus crímenes en los siete pecados capitales.;127;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Se7en
Zodiac;2007;Thriller;David Fincher;Basada en hechos reales, narra la obsesiva investigación del asesino del Zodíaco en San Francisco durante los años 70.;157;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Zodiac
Memento;2000;Thriller;Christopher Nolan;Un hombre sin memoria a corto plazo investiga el asesinato de su esposa usando tatuajes y polaroids para recordar pistas.;113;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Memento
La La Land;2016;Musical;Damien Chazelle;Una actriz en apuros y un músico de jazz apasionado se enamoran en Los Ángeles mientras persiguen sus sueños.;128;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=La+La+Land
Antes del Amanecer;1995;Romance;Richard Linklater;Un joven americano y una estudiante francesa se conocen en un tren a Viena y pasan una noche explorando la ciudad y sus almas.;101;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Antes+del+Amanecer
Eterno Resplandor;2004;Romance;Michel Gondry;Una pareja decide borrar los recuerdos de su relación usando un procedimiento experimental y descubren que su amor trasciende la memoria.;108;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Eterno+Resplandor
Llámame por tu Nombre;2017;Romance;Luca Guadagnino;Durante un verano en el norte de Italia, un adolescente de 17 años vive una historia de amor intensa con el asistente de su padre.;132;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Call+Me
El Club de la Lucha;1999;Thriller;David Fincher;Un oficinista insomne crea junto a un carismático vendedor de jabón un club de lucha clandestino que evoluciona en algo más oscuro.;139;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Club+de+la+Lucha
Pulp Fiction;1994;Crimen;Quentin Tarantino;Varias historias de mundo del crimen convergen en Los Ángeles de forma no lineal, entrelazando mafiosos, boxeadores y ladrones.;154;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Pulp+Fiction
Uno de los Nuestros;1990;Crimen;Martin Scorsese;La historia real de Henry Hill, que ascendió desde simple recadero a miembro de pleno derecho de la mafia de Nueva York.;146;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Uno+de+los+Nuestros
El Lobo de Wall Street;2013;Crimen;Martin Scorsese;La historia de Jordan Belfort, un corredor de bolsa que usó métodos cuestionables para amasar una fortuna y llevar una vida de excesos.;180;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Lobo+de+Wall+Street
Conductor de Taxi;1976;Drama;Martin Scorsese;Un ex marino veterano de Vietnam trabaja como taxista nocturno en Nueva York y se obsesiona con limpiar la ciudad de su depravación.;113;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Conductor+de+Taxi
Boyhood;2014;Drama;Richard Linklater;Filmada durante 12 años con los mismos actores, narra el crecimiento de un niño texano desde los 6 hasta los 18 años.;165;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Boyhood
El Renacido;2015;Aventura;Alejandro G. Iñárritu;Un explorador deja en un estado de muerte aparente a su guía, que lucha por sobrevivir en la naturaleza salvaje para vengarse.;156;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Renacido
1917;2019;Drama;Sam Mendes;Durante la Primera Guerra Mundial, dos soldados británicos deben cruzar territorio enemigo para entregar un mensaje crucial que podría salvar 1600 vidas.;119;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=1917
Joker;2019;Drama;Todd Phillips;El origen del icónico villano de DC, Arthur Fleck, un comediante fallido que poco a poco se transforma en el caótico Joker.;122;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Joker
Oppenheimer;2023;Drama;Christopher Nolan;La historia de J. Robert Oppenheimer, el científico que lideró el Proyecto Manhattan para desarrollar la primera bomba atómica.;180;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Oppenheimer
Todo a la Vez en Todas Partes;2022;Aventura;Daniel Kwan;Una lavandera de mediana edad es arrastrada a una aventura multidimensional donde debe conectar con versiones alternativas de sí misma.;139;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Everything+Everywhere
No es País para Viejos;2007;Thriller;Joel y Ethan Coen;Un cazador de Texas descubre dos millones de dólares en una escena de crimen y es perseguido por un peligroso asesino profesional.;122;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=No+es+Pais
Pozos de Ambición;2007;Drama;Paul Thomas Anderson;Daniel Plainview, un ambicioso buscador de petróleo, construye su imperio a cualquier precio en la California de principios del siglo XX.;158;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Pozos+de+Ambicion
Oldboy;2003;Thriller;Park Chan-wook;Un hombre liberado tras 15 años de cautiverio sin razón aparente busca a su captor en esta perturbadora historia de venganza.;120;Coreano;https://placehold.co/300x450/1a1a2e/c9a227?text=Oldboy
El Laberinto del Fauno;2006;Fantasía;Guillermo del Toro;En la España de la posguerra, una niña descubre un laberinto mágico habitado por criaturas fantásticas mientras su padrastro fascista aterroriza el pueblo.;118;Español;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Laberinto
Ciudad de Dios;2002;Crimen;Fernando Meirelles;La historia de la violenta evolución de los barrios marginales de Río de Janeiro narrada por uno de sus jóvenes habitantes.;130;Portugués;https://placehold.co/300x450/1a1a2e/c9a227?text=Ciudad+de+Dios
La Vida de los Otros;2006;Drama;Florian Henckel;Un espía de la Stasi en la Alemania del Este es asignado a vigilar a un dramaturgo y su actriz y comienza a cuestionar sus propias convicciones.;137;Alemán;https://placehold.co/300x450/1a1a2e/c9a227?text=La+Vida+de+los+Otros
Amélie;2001;Romance;Jean-Pierre Jeunet;Una tímida camarera de París decide mejor la vida de quienes la rodean con pequeñas travesuras y misterios, mientras evita el amor.;122;Francés;https://placehold.co/300x450/1a1a2e/c9a227?text=Amelie
Deseando Amar;2000;Romance;Wong Kar-wai;Dos vecinos descubren que sus respectivas parejas les son infieles entre sí y desarrollan una relación sin consumar llena de tensión y melancolía.;98;Cantonés;https://placehold.co/300x450/1a1a2e/c9a227?text=In+the+Mood+for+Love
Akira;1988;Animación;Katsuhiro Otomo;En Tokio post-nuclear, un motociclista salva a su amigo poseído por un poder psíquico descontrolado que amenaza destruir la ciudad.;124;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Akira
La Princesa Mononoke;1997;Animación;Hayao Miyazaki;Un príncipe maldito busca la cura para su enfermedad y se ve atrapado en el conflicto entre los dioses del bosque y los humanos industriales.;134;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Mononoke
Tu Nombre;2016;Animación;Makoto Shinkai;Un chico de Tokio y una chica de un pueblo rural intercambian cuerpos mientras duermen y tratan de encontrarse en la realidad.;106;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Tu+Nombre
La Tumba de las Luciérnagas;1988;Animación;Isao Takahata;Dos hermanos huérfanos intentan sobrevivir en el Japón devastado de la Segunda Guerra Mundial en una de las historias más desgarradoras del cine de animación.;89;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Tumba+Luciernagas
El Castillo Ambulante;2004;Animación;Hayao Miyazaki;Una joven costurera es maldecida convirtiéndola en anciana y busca la manera de romper el hechizo viviendo en el castillo de un poderoso mago.;119;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Castillo+Ambulante
El Final de Evangelion;1997;Animación;Hideaki Anno;Conclusión de la serie Neon Genesis Evangelion donde Shinji debe afrontar el destino de la humanidad en el Proyecto de Instrumentalidad.;87;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=End+of+Eva
Perfect Blue;1997;Thriller;Satoshi Kon;Una cantante de pop reconvertida en actriz comienza a perder la noción de la realidad cuando un acosador obsesivo la persigue.;81;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Perfect+Blue
Mi Vecino Totoro;1988;Animación;Hayao Miyazaki;Dos niñas que se mudan al campo descubren a Totoro, un gigantesco espíritu del bosque que se convierte en su protector mágico.;86;Japonés;https://placehold.co/300x450/1a1a2e/c9a227?text=Totoro
La Princesa Prometida;1987;Aventura;Rob Reiner;Un abuelo lee un libro de aventuras clásico a su nieto que incluye piratas, gigantes, duelos de espadas y un amor verdadero que todo lo puede.;98;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Princesa+Prometida
En Busca del Arca Perdida;1981;Aventura;Steven Spielberg;El arqueólogo Indiana Jones compite con los nazis para encontrar el Arca de la Alianza antes de que la usen como arma.;115;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Indiana+Jones
Regreso al Futuro;1985;Aventura;Robert Zemeckis;Un adolescente viaja accidentalmente al año 1955 en un DeLorean modificado y debe asegurarse de que sus padres se enamoren para poder regresar.;116;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Regreso+al+Futuro
E.T. el Extraterrestre;1982;Aventura;Steven Spielberg;Un niño solitario encuentra y cuida a un extraterrestre varado en la Tierra mientras los agentes del gobierno lo buscan.;115;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=ET
Jurassic Park;1993;Aventura;Steven Spielberg;Un magnate crea un parque de dinosaurios clonados que se descontrola poniendo en peligro a los visitantes atrapados en la isla.;127;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Jurassic+Park
Salvar al Soldado Ryan;1998;Drama;Steven Spielberg;Tras el desembarco de Normandía, un capitán lidera una misión para encontrar y traer vivo al único superviviente de cuatro hermanos combatientes.;169;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Salvar+al+Soldado+Ryan
Atrápame si Puedes;2002;Drama;Steven Spielberg;La historia real de Frank Abagnale Jr., considerado el mayor impostor del siglo XX, perseguido por el agente Carl Hanratty del FBI.;141;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Atrapame
El Show de Truman;1998;Drama;Peter Weir;Un hombre descubre gradualmente que toda su vida ha sido un programa de televisión en directo donde él es la estrella sin saberlo.;103;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Truman+Show
Náufrago;2000;Drama;Robert Zemeckis;Un ejecutivo de mensajería queda varado en una isla desierta tras sobrevivir a un accidente de avión y debe sobrevivir solo durante años.;143;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Naufrago
Titanic;1997;Romance;James Cameron;La historia de amor entre un artista empobrecido y una joven de clase alta a bordo del famoso trasatlántico en su viaje inaugural.;194;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Titanic
Braveheart;1995;Drama;Mel Gibson;El guerrero escocés William Wallace lidera una revuelta contra la brutal ocupación inglesa en la Escocia del siglo XIII.;178;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Braveheart
Lawrence de Arabia;1962;Aventura;David Lean;La historia del oficial británico T. E. Lawrence y su papel en la Revuelta Árabe durante la Primera Guerra Mundial.;228;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Lawrence+de+Arabia
Barbie;2023;Comedia;Greta Gerwig;Barbie vive en Barbielandia pero comienza a tener pensamientos sobre la muerte y decide ir al mundo real junto a Ken para encontrar respuestas.;114;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Barbie
Tres Anuncios en las Afueras;2017;Drama;Martin McDonagh;Una madre enlutada alquila tres vallas publicitarias para presionar a la policía local a encontrar al asesino de su hija.;115;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Tres+Anuncios
Moonlight;2016;Drama;Barry Jenkins;A través de tres capítulos de su vida, un joven afroamericano en Miami explora su identidad, su sexualidad y el amor en un entorno hostil.;111;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Moonlight
La Forma del Agua;2017;Romance;Guillermo del Toro;Una mujer muda que trabaja en un laboratorio secreto del gobierno se enamora de una criatura anfibia que tienen cautiva.;123;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=La+Forma+del+Agua
Dunkerque;2017;Drama;Christopher Nolan;La evacuación de Dunkerque en la Segunda Guerra Mundial narrada simultáneamente desde tierra, mar y aire.;106;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Dunkerque
Roma;2018;Drama;Alfonso Cuarón;La vida cotidiana de una familia de clase media-alta en la Ciudad de México de los años 70 vista a través de los ojos de su empleada doméstica.;135;Español;https://placehold.co/300x450/1a1a2e/c9a227?text=Roma
El Irlandés;2019;Crimen;Martin Scorsese;Frank Sheeran, un camionero que se convierte en sicario, hace una retrospectiva de su relación con la mafia y Jimmy Hoffa.;209;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Irlandes
Erase una Vez en Hollywood;2019;Drama;Quentin Tarantino;Un actor de series western y su doble se relacionan con Sharon Tate en el Hollywood de 1969.;161;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Erase+Una+Vez
El Poder del Perro;2021;Drama;Jane Campion;Un ranchero intimidante y hostil acosa a la nueva esposa de su hermano y a su hijo en la lejana Montana de los años 1920.;126;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Power+of+the+Dog
Drive;2011;Thriller;Nicolas Winding Refn;Un conductor de coches en Hollywood que trabaja de doble de riesgo se ve involucrado en el mundo del crimen para proteger a una vecina.;100;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Drive
